multiplex	node	score
Orpha_layer	ORPHA:884	0.11036356504294795
Orpha_layer	HP:0004322	0.0005888641789521799
Orpha_layer	HP:0000316	0.0005844725413010241
Orpha_layer	HP:0001252	0.0005830896286282775
Orpha_layer	HP:0000486	0.0005822705468923417
Orpha_layer	HP:0100736	0.0005798106015057449
Orpha_layer	HP:0000463	0.000578832382004066
Orpha_layer	HP:0000343	0.0005787044676716566
Orpha_layer	HP:0002007	0.0005784960459175218
Orpha_layer	HP:0000470	0.0005779893623691772
Orpha_layer	HP:0000508	0.0005777793240421122
Orpha_layer	HP:0003196	0.0005774215800728176
Orpha_layer	HP:0008070	0.0005772270359928524
Orpha_layer	HP:0002750	0.0005765687957243045
Orpha_layer	HP:0010864	0.0005764977040545252
Orpha_layer	HP:0000582	0.0005760835378796328
Orpha_layer	HP:0000966	0.000575940891510092
Orpha_layer	HP:0005692	0.0005758471643164919
Orpha_layer	HP:0000506	0.0005757363092496294
Orpha_layer	HP:0000232	0.0005752735182138252
Orpha_layer	HP:0002714	0.0005752455480648427
Orpha_layer	HP:0000280	0.0005751934967496975
Orpha_layer	HP:0000219	0.000574926450167296
Orpha_layer	HP:0000684	0.00057480991557654
Orpha_layer	HP:0011220	0.0005745292413992169
Orpha_layer	HP:0002023	0.0005741334888964052
Orpha_layer	HP:0004326	0.0005739450920687142
Orpha_layer	HP:0000535	0.0005738624603381096
Orpha_layer	HP:0001315	0.0005738490339748732
Orpha_layer	HP:0000215	0.0005727934480788209
Orpha_layer	ORPHA:560	3.3243901915182736e-05
Orpha_layer	ORPHA:138	2.3447893552280068e-05
Orpha_layer	ORPHA:2563	2.2479059748107265e-05
Orpha_layer	ORPHA:163654	2.2145406274640505e-05
Orpha_layer	HP:0000174	2.1505275263159053e-05
Orpha_layer	ORPHA:363444	2.10907418483535e-05
Orpha_layer	ORPHA:79133	2.0856552320336736e-05
Orpha_layer	HP:0430014	2.035267229628286e-05
Orpha_layer	ORPHA:100050	2.0261403469208047e-05
Orpha_layer	HP:0000172	2.0249924330652308e-05
Orpha_layer	HP:0000185	1.9789971166791496e-05
Orpha_layer	HP:0000220	1.9584182791985623e-05
Orpha_layer	HP:0031046	1.9327020060793267e-05
Orpha_layer	ORPHA:261584	1.9315712289855293e-05
Orpha_layer	HP:0012471	1.907108003400879e-05
Orpha_layer	HP:0011339	1.9044788720856383e-05
Orpha_layer	ORPHA:284339	1.8873746856428678e-05
Orpha_layer	ORPHA:175	1.714574414498641e-05
Orpha_layer	HP:0001249	1.6575287779735426e-05
Orpha_layer	ORPHA:2067	1.5771680847445285e-05
Orpha_layer	HP:0001250	1.4288430292413252e-05
Orpha_layer	ORPHA:1001	1.3707334696575686e-05
Orpha_layer	ORPHA:1071	1.3671524235313083e-05
Orpha_layer	HP:0001263	1.2880211886152304e-05
Orpha_layer	ORPHA:261494	1.253884283887059e-05
Orpha_layer	ORPHA:261349	1.2443649660459724e-05
Orpha_layer	HP:0000252	1.1981212067979106e-05
Orpha_layer	ORPHA:709	1.1401198501872955e-05
