multiplex	node	score
Orpha_layer	ORPHA:319182	3.854146094472486e-06
Orpha_layer	ORPHA:544254	2.0673221696562192e-06
Orpha_layer	ORPHA:261494	1.9689125713015576e-06
Orpha_layer	ORPHA:391372	1.8689644679615331e-06
Orpha_layer	ORPHA:420179	1.621028682932901e-06
Orpha_layer	ORPHA:2131	1.4785042609633982e-06
Orpha_layer	ORPHA:464306	1.3899727346215896e-06
Orpha_layer	ORPHA:96092	8.839934301458096e-07
Orpha_layer	ORPHA:276432	7.140433679705884e-07
Orpha_layer	ORPHA:96169	5.372273646748278e-07
Orpha_layer	ORPHA:884	4.812356432531153e-07
Orpha_layer	ORPHA:85279	4.7161547324331765e-07
Orpha_layer	ORPHA:289494	3.9380112749036273e-07
Orpha_layer	ORPHA:394	3.728481029279524e-07
Orpha_layer	ORPHA:444077	1.340145040756599e-07
Orpha_layer	HP:0001250	4.254967394489036e-08
Orpha_layer	HP:0000750	3.722423707362692e-08
Orpha_layer	HP:0000708	3.5677912999910114e-08
Orpha_layer	HP:0010864	3.3421175092384346e-08
Orpha_layer	HP:0001252	3.338014393476447e-08
Orpha_layer	HP:0001249	2.981104736139251e-08
Orpha_layer	HP:0000252	2.9702538533567573e-08
Orpha_layer	HP:0000218	2.7491963746552334e-08
Orpha_layer	HP:0004322	2.712416475123097e-08
Orpha_layer	HP:0000729	2.4569479083618845e-08
Orpha_layer	HP:0000316	2.44304469602017e-08
Orpha_layer	HP:0000767	2.3561449821164183e-08
Orpha_layer	HP:0001263	2.3139573175423733e-08
Orpha_layer	HP:0000739	2.3040648304342526e-08
Orpha_layer	HP:0002650	2.251713655232402e-08
Orpha_layer	HP:0000486	2.1886401342624963e-08
Orpha_layer	HP:0003196	2.1416554223393077e-08
Orpha_layer	HP:0001508	2.0402818356714154e-08
Orpha_layer	HP:0000348	1.9929382287977572e-08
Orpha_layer	HP:0000324	1.987087224144496e-08
Orpha_layer	HP:0000718	1.977754934967197e-08
Orpha_layer	HP:0000490	1.9325024178751593e-08
Orpha_layer	HP:0000508	1.8446767329938628e-08
Orpha_layer	HP:0002342	1.8220378221051623e-08
Orpha_layer	HP:0002119	1.8066158971248233e-08
Orpha_layer	HP:0000028	1.7606244854281555e-08
Orpha_layer	HP:0011968	1.725517015005439e-08
Orpha_layer	HP:0002020	1.7217515400693297e-08
Orpha_layer	HP:0030084	1.6629979978002334e-08
Orpha_layer	HP:0000733	1.659955031120834e-08
Orpha_layer	HP:0000047	1.648484827011754e-08
Orpha_layer	HP:0000664	1.6471293602674334e-08
Orpha_layer	HP:0011220	1.5939955419536863e-08
Orpha_layer	HP:0000400	1.53226465652013e-08
Orpha_layer	HP:0005616	1.5303530549741722e-08
Orpha_layer	HP:0002714	1.5052495896067744e-08
Orpha_layer	HP:0004209	1.5040099909859392e-08
Orpha_layer	HP:0008872	1.491469604541879e-08
Orpha_layer	HP:0000343	1.4904600938162997e-08
Orpha_layer	HP:0000639	1.468852198888783e-08
Orpha_layer	HP:0002015	1.4549548296152058e-08
Orpha_layer	HP:0000494	1.4401450214984396e-08
Orpha_layer	HP:0000256	1.4142783471868924e-08
Orpha_layer	HP:0000736	1.3726150550430653e-08
Orpha_layer	HP:0000160	1.3629749168197114e-08
Orpha_layer	HP:0001256	1.3624978030153305e-08
Orpha_layer	HP:0000431	1.3596718428386558e-08
Orpha_layer	HP:0001999	1.3204357475810218e-08
Orpha_layer	HP:0001251	1.3072730929517615e-08
Orpha_layer	HP:0001511	1.2802612388961701e-08
Orpha_layer	HP:0002019	1.272666395238839e-08
Orpha_layer	HP:0000369	1.250621897962077e-08
Orpha_layer	HP:0000752	1.2361597901172619e-08
Orpha_layer	HP:0001337	1.234629008666062e-08
Orpha_layer	HP:0000219	1.2237413217170532e-08
Orpha_layer	HP:0001182	1.2147303644071474e-08
